text,label
New Mexico man in house arrest sues to use medical marijuana.,0
"""Obamacare provision will allow """"forced home inspections"""" by government agents.""",1
Cruise ship passengers 'in limbo' off San Francisco awaiting coronavirus tests.,0
Study paves the way for a blood test to predict Alzheimer's.,0
"""If you Google """"unprofessional hairstyles for men"""" and """"""""unprofessional hairstyles for women"""" or """"professional hairstyles for men"""" and """"professional hairstyles for women,"""" results appeared to be racially biased.""",1
"According to a body language expert, a photograph of President Obama crying reveals he is a psychopath.",1
"At least 100,000 churches called for the withdrawal of Brett Kavanaugh's Supreme Court nomination.",1
A landline disengaged from its cradle will eventually self-dial 911.,1
"""Massaging olive oil into breast skin and tissue can prevent and reverse """"sagging.""",1
The mortality rate for the flu is “right around” that of the new coronavirus: “It’s right around 2%.”,1
Clot-busting drugs save limbs from frostbite.,0
"Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.",1
David Perdue Says his policy is that “health insurance should always cover preexisting conditions. For anyone. Period.”,1
"Amy, I looked online at your (health care) plan. It’s two paragraphs.",1
Vitamin B and its role in improving memory,0
Iran plans tougher restrictions as coronavirus toll rises.,0
Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,1
Blood drug trades benefit for risk,0
"Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”",1
Wisconsin man accused in illegal THC vaping cartridge scheme.,0
Yoga shows some benefit for diabetes,1
New study from KKI shows feasibility of acupuncture in young children with ASD,1
Colombian rebel-turned-candidate OK after heart surgery.,0
"Covid-19 clots the blood causing thrombosis, stopping blood flow and oxygenating the heart and lungs.",1
"""George Flinn Says his """"patents in ultrasound have revolutionized modern medicine.""",1
Kansas lawmakers want stronger law on mental health coverage.,0
The Trump administration fired the U.S. pandemic response team in 2018 to cut costs.,0
Former NFL player Ryan Leaf gives speech on  substance abuse.,0
"""Some states hit hardest by opioid deaths """"have more opioid prescriptions than residents.""",0
The chubby girl from Ipanema? Brazil puts on weight.,0
 Charles Manson has been granted parole and will be released from prison. ,1
Only three in 10 Texas doctors are currently accepting new Medicaid patients.,1
Samsung Bioepis biosimilar to Roche's Herceptin wins FDA nod.,0
A set of photographs shows the gruesome results of a pico jackfruit snake bite. ,1
Italy experts say reliable coronavirus antibody test may be ready soon.,0
Drug’s benefit to younger breast cancer patients in question,1
Image shows radioactive seepage spreading across the Pacific Ocean from the Fukushima nuclear plant.,1
Brazil’s Bolsonaro eyes new body for environmental policy.,0
Heart Drug Linked to Extra Years for Cancer Patients,0
"Residents of Flint, Michigan have been threatened by CPS with removal of their children if they refuse to pay for contaminated water.",1
University of Waterloo develops new way to fight HIV transmission,1
Partnership plans to build cancer treatment machine,1
"Jacqueline Saburido, the victim of a drunk driving accident, seeks donations to help with the expenses of medical treatment for her extensive injuries.",1
"Text Reminders Help People Lower Cholesterol, Blood Pressure",0
Nearly 45 percent of the women who receive health screenings through (the Women’s Health Program) do so at a Planned Parenthood health center.,1
"In Madagascar, plague outbreak now threatens largest cities.",0
Preventive neuroradiology: Brain imaging bolsters efforts to lower Alzheimer's risk,1
European measles cases highest in a decade as pockets refuse vaccination.,0
Wisconsin residents using medical cannabis amid restrictions.,0
Denver to furlough thousands of workers amid coronavirus.,0
"""Insurers delayed an Illinois man's treatment, """"and he died because of it.""",1
"""Fetal cells from abortions are being used to flavor commercial foods and drinks or in the production of a mysterious substance known as """"adrenochrome.""",1
I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.,0
"""Tammy Baldwin Says Scott Walker's views on abortion are more restrictive """"than any Republican president in recent times.""",0
"""Popeye's Louisiana Kitchen is selling """"emotional support chicken"""" for weary flight passengers.""",0
EU panel recommends suspension of risky bone disease drug.,0
Fate of opioid litigation hinges on government 'police power'.,0
Retailers T.J. Maxx and Marshall's sell counterfeit salon products.,1
"""ISIS leader Abu Bakr al Baghdadi was """"released by Obama in 2009.""",1
"More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. That's significantly higher than alcohol.",1
Cricketer Maxwell to take break due to mental health issues.,0
"  The email says that Simon and Schuster has announced a new CD-ROM computer game where “…to win the game, boys must strip supermodels down to their underwear, then provide photographs of them to aliens who wore out their one lingerie catalog – or else the aliens hormone driven anger will destroy the earth.”   ",0
"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection. ",1
"The fruit of the graviola tree (soursop or guyabano), or other components of the plant (A. muricata), are a viable cure for cancer.",1
New Drug Shows Promise Against Huntington’s Disease,1
Michael Bloomberg Says “black babies die at rates twice as high as white babies because of a lack of access to affordable health care.”,0
Moldy bread or grain blamed for Canada geese deaths.,0
Nordic scientists start trial on nicotine vaccine.,0
State awards license to grow medical marijuana in Missouri.,0
"Instagram posts Says “Bill Gates and other globalists, in collaboration with pharmaceutical companies, are reportedly working to push tracking bracelets and ‘invisible tattoos’ to monitor Americans during an impending lockdown.”",1
"""Pediatricians have cut down on the number and proximity of vaccines because they recognize there have been """"too many in too short a period of time.""",1
Joe Biden Says President Donald Trump “took more than a month to allocate Congress’ emergency funding to tribes — and only did so after tribes sued.”,0
"Amid doc’s murder case, lawsuits reflect battle over blame.",0
"The number of mental health nurses has fallen from 46,155 to 39,358 [since 2009].",1
"""Abortion coverage is a standard insurance benefit """"in nearly 90 percent of private plans sold in the U.S.""",1
"The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined.",0
You've got a medical report on me that meets the same standard as Mitt Romney and Barack Obama.,0
Relapses of childhood leukemia improve with high doses of common chemo drug,0
Governments to discuss tackling tuberculosis at UN summit.,0
Low-Carb Diet Lowers Blood Pressure,1
"The household plant Dieffenbachia, one of the most common indoor plants, is so poisonous it can kill a child in one minute and an adult in 15 minutes.",1
“The CDC can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention.”,1
"""An article published in a medical journal makes reference to nicknames for hormone replacement therapy that included """"antiboyotics, trans-mission fluid, and the Notorious H.R.T.""",0
Mammogramsâ€™ Value in Cancer Fight at Issue,0
New tool helps identify risk for post-surgical dislocations following hip replacement,1
"""No other country comes even close to"""" the """"nearly 40,000 people in this country"""" lost to gun violence.""",1
Villains or visionaries? Hedge funds short companies they say 'greenwash'.,0
Berlin nightclub patrons urged to get meningitis test.,0
"Want to Live Longer? Every Movement Counts, Even Cleaning the House",1
"As America's waistline expands, costs soar.",0
"""Under ‘Trumpcare,’"""" domestic violence and sexual assault """"could be considered pre-existing conditions.""",1
"""The Human Rights Campaign is """"more powerful than the NRA.""",1
"""On August 13 2020, U.S. President Donald Trump said: """"They need that money in order to make the post office work so it can take all of these millions and millions of ballots... Now, if we don’t make a deal, that means they don’t get the money. That means they can’t have universal mail-in voting, they just can’t have it.”""",0
Predicting violence in psychopaths is 'no more than chance'.,0
Nonalcoholic Beer Aids Marathon Recovery,1
"""Bill White Says Republican state leaders are using """"Soviet-style"""" budget management.""",1
Man in Rhode Island tests positive for rare equine virus.,0
"""Children who witness domestic violence are """"twice as likely to commit it themselves.""",0
"George Michael died of natural causes, British coroner says.",0
"Facebook post Says the CEO of Camping World told Trump supporters “Frankly, don’t shop at my business.”",1
Vehicle search prompted by marijuana smell ruled illegal.,0
Austria bets on mass testing to manage coronavirus spread.,0
Democrats unveil new policies before gubernatorial primary.,0
"Jerry Lewis, Hollywood survivor, showman, dies at 91.",0
Opponents of Georgia abortion ban promise court challenge.,0
Japan's tsunami survivors suffer in silence three years after disaster.,0
"As Bernie Sanders said, Hillary Clinton ‘voted for virtually every trade agreement that has cost the workers of this country millions, millions of jobs.’ ",1
NBA players’ union hires director of mental health.,0
China readies stimulus measures as local virus cases dwindle.,0
Dihydrogen monoxide is a dangerous chemical that should be banned.,1
Texas records 1st death linked to e-cigarette use.,0
"When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There’s only one other four-year period where that’s true. That’s true from 2008 to 2012.",1
A saltwater solution will force insect pests out of infested strawberries. ,1
Advances in treatments for enlarged prostates,1
"""Newt Gingrich Says Hillary Clinton's health care plan from the 1990s """"had a broader provision in favor of corporate right to back out"""" of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.""",1
"""Bovine tuberculosis"""" has appeared in a herd of cattle in Michigan.""",0
  A Germanwings airbus crash in the French Alps that killed 150 people was an act of terror because Germanwings co-pilot Andreas Lubitz had converted to a radical form of Islam before the crash. ,1
Indianapolis 500 officials to offer measles vaccine at race.,0
"“Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.”",0
US patents 7897744 and 8506968 are for SARS.,0
Groups sow doubt about COVID vaccine before one even exists.,0
Heart drug riddle solved: Beta blockers’ ability to combat chronic failure linked to genetics,1
Delta Air Lines gives members of Planned Parenthood discounted rates on air travel.,1
Europe grapples with 'socio-economic tsunami' of coronavirus crisis.,0
"""John Morgan Says Cathy Jordan was """"arrested"""" and dragged out of her home by """"a SWAT team of hooligans"""" for using medical marijuana.""",1
"""Imitation dairy products often differ nutritionally from those they mimic, and labeling them """"milk"""" or """"cheese"""" or """"yogurt"""" is """"against the law.""",0
Hurricane Irma could be a Category 6 by the time it hits East Coast.,1
A 0.05 standard for drunken driving means having a glass of wine at dinner could make a person drunk.,0
Delaware doc accused of trading drugs for sex loses license.,0
" A prayer request for a 4-year old girl who has        been diagnosed with “non-Hodgkin’s lymphoma, stage 4.”  The email        says her father works for a temp service, the mom works part time at a        family-owned business, and that they do not have insurance.   ",0
Association of radiation therapy plus lumpectomy in reduced risk of dying in women with DCIS,1
"""Mexican government officials """"hand out brochures showing individuals how they can avoid our Border Patrol, how they can get into our country.""",1
"""Rhode Island gives undocumented pregnant women health insurance, plus a cash card """"with $400 a month on it"""" and """"$250 a month or $275 a month to spend on food.""",1
Nursing residency program to tackle rural health care needs.,0
Dana Milbank Says Bill O’Reilly spoke 40 percent of the words in an interview with President Barack Obama.,0
Pfizer lung cancer drug fails in two large studies.,0
Prenatal testing can detect cancer in pregnant mothers,1
Man who inspired ice bucket challenge is back in hospital.,0
Fat Hormone May Trick the Body to Help It Keep Extra Pounds Off,1
"Procter & Gamble, rivals take refills into beauty aisle.",0
Retinal implant trial helps blind people see shapes,1
“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”,1
There's no rationing in any of these bills.,1
Montana vape shop turns to home kits to dodge flavored ban.,0
"""A photograph shows a genuine crop circle resembling a logo for Microsoft Windows and the """"crown"""" shape associated with coronaviruses.""",1
UK doctor jailed for 15 years over unnecessary breast surgery.,0
"""Minecraft has a newly-discovered """"sex mod"""" of which parents should be aware and exercise caution (or restrict the game from their children entirely).""",1
Coffee may cut risk for some cancers,0
Study raises fresh dementia concerns from playing pro soccer.,0
"""Claims Joe Biden said """"coal is more dangerous than terrorists.""",1
Eating Takis brand corn chips causes ulcers and cancer in children.,1
Unilever says new milkshake helps control appetite.,0
"Hollywood film producer and alleged sexual predator Harvey Weinstein shot and killed himself in a Scottsdale, Arizona, hotel room.",1
"Donald Trump improperly received $150,000 in federal aid earmarked for small businesses damaged by the 9/11 attacks, despite the fact his business was neither small nor damaged in the attacks.",1
Hate UTIs? One Simple Step Can Cut the Risk,1
"""EMILY's List Says Tommy Thompson """"pushed such strict laws that abortion providers faced potential life imprisonment and women were forced to cross state lines in order to receive attention for life-threatening issues.""",1
A viral video shows a man punching a kangaroo in the face to save his dog.,0
Minimally invasive treatment reduces knee pain and disability from osteoarthritis,1
The character 'Rudolph the Red-Nosed Reindeer' was created by a father to bring comfort to his daughter as her mother was dying of cancer.,1
Drinking “water a lot and gargling with warm water & salt or vinegar eliminates” the coronavirus.,1
Very few men outlive their own fertility.,1
"Sitting inside a running, snowed-in car can result in carbon monoxide poisoning.",0
"""National Republican Congressional Committee Says that Rep. Betty Sutton """"would rather riot with Occupy (Wall Street) than stand up for Ohio families.""",1
Report: 3 million votes in presidential election cast by illegal aliens.,1
Florida's top court puts medical marijuana initiative on November ballot.,0
"""Said they reached a  """"power-sharing agreement"""" with Republican Lt. Gov. Casey Cagle""",1
"U.S. Sen. Kamala Harris, D-Calif., supports the ability to carry out abortions up until the time a woman gives birth. ",1
Burundi defies COVID-19 for election ending a bloody rule.,0
Study casts doubt on duct tape wart cure,0
Generic Drug Could Save Many Trauma Patients,0
Intensive Vegetable-Fruit Diet Shows No Effect on Breast Cancer Return,0
Swedish mammography study sows more confusion about screening for breast cancer,0
"""H.R. 4919, passed on 8 December 2016, allows the microchipping of """"mentally disabled"""" citizens such as patients with autism and Alzheimer's disease.""",1
Gene mutation underlies some mad cow disease: study.,0
US urges transparency in Ebola-like death in Tanzania.,0
Why do zebras have stripes? Perhaps to dazzle away flies.,0
Cancer treatment offers MS patients hope after 'remarkable' trial results,1
"Testing cholesterol in toddlers, even younger? Study says it could help",0
Harvard’s ‘Outbreak Week’ marks centennial of flu pandemic.,0
Experimental Drug Helps Fight Aggressive Breast Cancer: Report,0
State adds anxiety to qualifying conditions for medical pot.,0
"Dr. Vladimir Zelenko's 669 COVID-19 patients that were treated with a combination of hydroxychloroquine, azithromycin, and zinc have seen zero hospitalizations, complications, or deaths. ",1
"Hanan al-Hroub, whose husband was jailed for providing chemicals used in making bombs that killed Israelis, was invited to speak at a Clinton Global Initiative dinner.",0
Bitter taste receptors may hold the key to managing preterm labor,1
Bay leaves contain a compound that decreases anxiety when burned.,1
Couple seeks to stop release of more vaccine data.,0
Growth hormone reduces risk of osteoporosis fractures in older women,1
"In 1994, a 17-year-old Eagle Scout built a nuclear reactor in his mother’s backyard, an act that ultimately necessitated a Superfund cleanup.",0
"""Adam Putnam Says the giant African land snail """"carries human meningitis.""",1
"""Donald Trump once said """"I never understood why people like dogs. Dogs are disgusting.""",1
The LGBT community is more often the victims of hate crimes than any other recognized group.,0
"Last week, the Supreme Court reversed a century of law that I believe will open the floodgates for special interests – including foreign corporations – to spend without limit in our elections.",1
Chairs removed from Mott’s Flint campus after bedbugs found.,0
" The story of an 11-year-old girl who has had        menstrual bleeding since she was 8 and has also started lactating.          The eRumor says it is because she’s been drinking milk injected with rBST,        a hormone given to cows to increase their milk production.  The        eRumor focuses on Wal-Mart Great Value milk as a source of the rBST and        recommends against feeding it to your family.       ",1
The FDA recently discovered that the Arizona Beverage Company uses human urine in many of their products.,1
"Vegetarian diets almost twice as effective in reducing body weight, study finds",1
Bangladesh grapples with country’s worst dengue outbreak.,0
Six people in Florida die as a result of (not expanding Medicaid) every day.,1
"""A veterinary pathologist testified that being immersed in a can of Mountain Dew would turn a mouse into a """"jelly-like"""" substance.""",0
Doubts on mammogram software,0
On changing the rules governing judicial conflicts of interest,1
In 2011 Mike Bloomberg said health care providers should not treat elderly prostate cancer patients in order to alleviate health care costs and overcrowding.,0
Shaheen announces broad legislation to address addiction.,0
"""Roger Stone Says Hillary Clinton """"shows up in Broward County"""" and had a private meeting with elections supervisor Brenda Snipes.""",1
Ranks of people reaching age 90 tripled since 1980: report.,0
"Former Bush, Reagan EPA heads warn on Trump rollbacks.",0
Cathay to let crew wear masks on all flights due to new coronavirus.,0
HOW TO LOSE WEIGHT: TWO-WEEK DIET BETTER FOR DROPPING POUNDS,1
Large Europe majorities for assisted suicide: survey.,0
Amazon’s growing ties to oil industry irks some employees.,0
" After music icon Prince died in April 2016 at the age of 57, rumors began swirling about his cause of death. ",1
Our African-American communities are absolutely in the worst shape they've ever been in before. Ever. Ever. Ever.,1
Coronavirus epidemic 'under control' in Norway: health minister.,0
"A government report from 2008 states that 35,000 veterans of the first Gulf War died as a direct result of adverse effects from an Anthrax vaccine they were mandated to receive.",1
Blogger Says George Soros and Bill Gates are funding a bioweapons lab in Sierra Leone that caused the Ebola outbreak.,1
GPS-like system helps surgeons align joints,0
Demand for public transportation is reaching record levels in Wisconsin.,1
"""Bernie Sanders Says Hillary Clinton supported and continues to """"support fracking.""",0
"""In Wisconsin, more than 300,000 people have """"some kind of addictive gambling problem, whether it’s pathological or what we’d categorize as a problem gambler.""",1
"More than shots, there's new help for allergy sufferers",0
"""Recently Rick Scott """"closed 30 women’s health care centers across the state.""",1
As governor of Florida I defunded Planned Parenthood.,0
"""Gov. Rick Perry """"has overseen the highest Texas unemployment in 22 years.""",1
Montana county faces transgender discrimination complaint.,0
Fruits and vegetables from other countries are being contaminated with blood containing either AIDS or HIV.,1
Exercise may be the Rx for RSI,0
"Bill Gates’ polio vaccine permanently disabled 47,000 children in India.",1
Arizona schools use therapy dogs to assist mental health.,0
New York City Health (NYC Health) issued official guidelines for sex during a global coronavirus pandemic.,0
Researchers in Cuba have discovered a cancer vaccine that is already saving thousands of people.,1
Ultra-personal therapy: Gene tumor boards guide cancer care.,0
"When Disney was looking to build Disney World, they came to Miami and we told Disney to take a hike.",1
"With rare candor, Lovato chronicled her recovery and relapse.",0
Company to pay $245M toward cleanup of Kalamazoo River PCBs.,0
"""Bernie Sanders Says Bernie Sanders """"fundamentally changed the lives"""" of Immokalee farm workers in Florida for the better.""",1
"""Facebook post Says """"Pelosi blackmails Congress! She demands mail-in voting or no 2nd stimulus for you and your family.”""",1
Florida latest place to declare emergency over hepatitis A.,0
A video showing people who appear to be impaired by drugs is labeled as being from California.,1
Toledo clinic suspends surgical abortions during change.,0
The FDA Says This Brain-Stimulating Device May Help People With Obsessive-Compulsive Disorder,1
EU drug agency sees no U.S.-like cannabis legalization moves.,0
Housing options help autistic adults find independence.,0
The Centers for Disease Control have issued a warning concerning used condoms being repurposed as hairbands.,1
"Mesothelioma Surgery Improves Quality of Life, Study Finds",1
"Portugal suspends water, electricity shutoffs and releases some prisoners amid coronavirus outbreak.",0
Latest anti-aging craze ‘Dracula Therapy’ involves injecting your face with your own blood,1
Jerry Patterson Says the Texas General Land Office led by George P. Bush has repaired just two homes since Hurricane Harvey.,0
"Republican Party of Florida Says Charlie Crist supports ""cuts to the Medicare Advantage program.""",1
French panel: Seize guns to reduce domestic violence.,0
Opioid crisis brings unwanted attention to wealthy family.,0
Asia prepares for coronavirus boomerang wave as residents return home.,0
The U.S. “would actually be on a glide path to balancing the budget” had Congress enacted Trump’s 2018 plan.,1
New Breast Cancer Test Approved,1
"""As of October 2017, there was an """"epidemic of child abduction"""" in the state of Kansas.""",1
"Italy coronavirus deaths jump to 52, cases climb above 2,000.",0
"""Barack Obama """"lied"""" about his father's military service during World War II.""",1
Sanders says he’ll enact national drinking water standards .,0
"""Judging by a recent vote, Rep. Debbie Wasserman Schultz """"thinks it's okay for medical marijuana patients to go to federal prison.""",1
The American Psychiatric Association condones pedophilia and says it is normal to be sexually attracted to children.,1
"Senate Bill 1070, simply, just mirrors federal law.",1
Peachtree and Pine is one of the leading sites for tuberculosis in the nation.,0
Sydney's city council reviews use of Bayer's Roundup weed killer amid cancer fears.,0
Drugs Show Promise Slowing Advanced Melanoma,0
Firm develops magnetic-pulse treatment for major depression,1
Tennessee reports 49 cases of lung injury linked to vaping.,0
Common dementia drug found to improve Parkinson's symptoms,1
Drivers in China commonly intentionally kill pedestrians in hit-and-run accidents.,1
"The 1988 animated film Akira predicted the 2020 Olympics would be in Tokyo, and that a pandemic (Coronavirus) would lead to its cancellation.",1
I opposed the only multilateral trade deal that came before the Senate while I was there.,1
A study “showed that over 1 million people in North Carolina have now been exposed to the virus.”,1
Snacks marketed to children are heavily laden with ingredients that cause cancer.,1
California sees high rate of flu deaths in unusually severe season.,0
"Former NFL quarterback Kurt Warner married a woman who had two children, one a special needs child. ",0
Georgia’s Kemp submits bid to remake health insurance market.,0
Pigs fly: China pork producers surge as swine disease cuts supply.,0
WellPoint says health exchange applicants hit expectations.,0
"""The GOP health care plan """"would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition.""",0
Israelis put on coronavirus lockdown for Passover holiday celebration.,0
"Obamacare cuts $500 billion in future Medicare funding in order to fund the new constitutionally questionable government mandate, even going so far as to scuttle Medicare's most popular (and successful) part, Medicare Advantage.",1
"""A newspaper clipping from 1918 documents a """"public notice"""" from the city of Kelowna, British Columbia, announcing that schools, movie theaters, and other public places would be closed to prevent the spread of """"Spanish Influenza."""" """,0
" A Saudi billionaire purchased the entire town of Buford, Wyoming, and has hired the Binladen Group to build a “Western Mecca” that will ban non-Muslims. ",1
A photograph captures President Obama pointing at a nude painting of Donald Trump.,1
"In a twist, Colorado asks EPA to lower state’s air rating.",0
Georgia aims to ease virus spread among Hispanic residents.,0
